KBP relation,Max values (9 means no limit),Relation terms,Arg2 begins,Entity in,SlotFill in,Slot type,Arg1 terms,Arg2 terms
gpe:headquarters_in_city,9,based,in,arg2,arg1,Organization,,
gpe:headquarters_in_city,9,based,City,arg2,arg1,Organization,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
gpe:headquarters_in_country,9,headquartered,in,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,based,in,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,be,,arg1,arg2,Organization,,home
gpe:headquarters_in_country,9,operate,out of,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,situate,in,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,situate,at,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,headquartered,at,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,taxpayer of,,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,operated,out of,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,operating,out of,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,operates,out of,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,is situated,in,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,is situated,at,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,was situated,in,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,was situated,at,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,is based,,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,is located,in,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,is located,,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,was based,,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,was located,in,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,was located,,arg2,arg1,Organization,,
gpe:headquarters_in_country,9,is,,arg1,arg2,Organization,,home
gpe:headquarters_in_country,9,was,,arg1,arg2,Organization,,home
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
gpe:headquarters_in_stateorprovince,9,headquartered,in,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,based,in,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,be,,arg2,arg1,Organization,,home
gpe:headquarters_in_stateorprovince,9,operate,out of,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,situate,in,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,situate,at,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,headquartered,at,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,taxpayer of,,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,organization in,,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,based,,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,located,in,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,located,,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,operated,out of,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,operating,out of,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,operates,out of,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,is situated,in,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,is situated,at,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,was situated,in,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,was situated,at,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,is based,,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,is located,in,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,is located,,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,was based,,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,was located,in,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,was located,,arg1,arg2,Organization,,
gpe:headquarters_in_stateorprovince,9,is,,arg2,arg1,Organization,,home
gpe:headquarters_in_stateorprovince,9,was,,arg2,arg1,Organization,,home
